yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
197609,105.24,3.8500,9.5500,0.7913632737,0.0508,0.0838,0.0940,0.0781,0.0237826575,0.004400,0.0034843206,0.0145,0.0167,0.0008906883,-0.0014566973,0.024421,0.022670
197610,102.90,3.9167,9.6700,0.8120796327,0.0492,0.0832,0.0929,0.0779,0.0255691262,0.004100,0.0052083333,0.0084,0.0070,0.0012699930,-0.0011566296,-0.020211,-0.021995
197611,102.10,3.9833,9.7900,0.8272629379,0.0475,0.0825,0.0923,0.0749,0.0278954289,0.004000,0.0017271157,0.0339,0.0319,0.0011179253,-0.0009224102,-0.001041,-0.008628
197612,107.46,4.0500,9.9100,0.7799731250,0.0435,0.0798,0.0912,0.0721,0.0285665543,0.004000,0.0034482759,0.0327,0.0347,0.0005762273,-0.0011227041,0.053775,0.052170
197701,102.03,4.0967,9.9667,0.8210652053,0.0462,0.0796,0.0908,0.0764,0.0295997969,0.003600,0.0051546392,-0.0388,-0.0303,0.0006956300,-0.0015928437,-0.049654,-0.051167
197702,99.82,4.1433,10.0233,0.8368039982,0.0467,0.0804,0.0912,0.0775,0.0279702171,0.003500,0.0102564103,-0.0049,-0.0020,0.0003346756,-0.0016537032,-0.015638,-0.022400
197703,98.42,4.1900,10.0800,0.8684299283,0.0460,0.0810,0.0912,0.0772,0.0303383572,0.003800,0.0067681895,0.0091,0.0094,0.0006657328,-0.0017320885,-0.012502,-0.014548
197704,98.44,4.2467,10.1933,0.8611500701,0.0454,0.0804,0.0907,0.0771,0.0311400296,0.003800,0.0084033613,0.0071,0.0100,0.0009848511,-0.0016386999,0.000641,-0.000503
197705,96.12,4.3033,10.3067,0.8882113369,0.0496,0.0805,0.0901,0.0765,0.0353154695,0.003700,0.0050000000,0.0125,0.0106,0.0006348018,-0.0013541819,-0.015064,-0.023541
197706,100.48,4.3600,10.4200,0.8711120812,0.0502,0.0795,0.0891,0.0754,0.0319410996,0.004000,0.0066334992,0.0164,0.0175,0.0005633646,-0.0015935849,0.047776,0.045705
